title,year,summary,operator,passengers,crew,fatalities,survivors
Iran Aseman Airlines Flight 6895,2008,,Itek Air,83,7,68,22
Aeroflot Flight 821,2008,,Aeroflot-Nord,82,6,88,0
Qantas Flight 72,2008,,Qantas,303,12,0,315
Yeti Airlines Flight 103,2008,,Yeti Airlines,16,3,18,1
Continental Airlines Flight 1404,2008,,Continental Airlines,110,5,0,115
US Airways Flight 1549,2009,,US Airways,150,5,0,155
2009 Manaus Aerotáxi crash,2009,,Manaus Aerotáxi,26,2,24,4
Colgan Air Flight 3407,2009,,Colgan Air,45,4,50,0
Turkish Airlines Flight 1951,2009,,Turkish Airlines,128,7,9,126
Cougar Helicopters Flight 91,2009,,Cougar Helicopters,16,2,17,1
Emirates Flight 407,2009,,Emirates (airline),257,18,0,275
2009 Bond Helicopters Eurocopter AS332 crash,2009,,Bond Offshore Helicopters,14,2,16,0
CanJet Flight 918,2009,,CanJet,174,8,0,182
Air France Flight 447,2009,,Air France,216,12,228,0
Yemenia Flight 626,2009,,Yemenia,142,11,152,1
Caspian Airlines Flight 7908,2009,,Caspian Airlines,153,15,168,0
Aria Air Flight 1525,2009,,Aria Air,156,17,16,157
Merpati Nusantara Airlines Flight 9760,2009,,Merpati Nusantara Airlines,12,3,15,0
Airlines PNG Flight 4684,2009,,Airlines PNG,11,2,13,0
Azza Transport Flight 2241,2009,,Azza Transport,3,3,6,0
American Airlines Flight 331,2009,,American Airlines,148,6,0,154
Northwest Airlines Flight 253,2009,,Northwest Airlines,279,11,0,290
Taban Air Flight 6437,2010,,Taban Air,157,13,0,170
Ethiopian Airlines Flight 409,2010,,Ethiopian Airlines,82,8,90,0
AeroUnion Flight 302,2010,,AeroUnion,0,5,5,0
Merpati Nusantara Airlines Flight 836,2010,,Merpati Nusantara Airlines,103,6,0,109
Afriqiyah Airways Flight 771,2010,,Afriqiyah Airways,93,11,103,1
Pamir Airways Flight 112,2010,,Pamir Airways,39,5,44,0
Air India Express Flight 812,2010,,Air India Express,160,6,158,8
Airblue Flight 202,2010,,Airblue,146,6,152,0
Katekavia Flight 9357,2010,,Katekavia,11,4,12,3
AIRES Flight 8250,2010,,AIRES,125,6,2,129
